business_type,years_in_operation,annual_revenue,ebitda,loan_amount,loan_term_months,promoter_credit_score,existing_debt,default_flag
Retail,7,39928877.85,11576943.95,3920485.9,48,320,312037.28,0
Tech,11,23232820.15,4641332.77,800047.41,48,430,41168.99,1
Services,12,46958359.1,18761401.9,4961836.64,24,460,608484.49,0
Tech,12,1641590.04,139757.1,2059318.76,24,775,1947511.04,0
Retail,14,39366210.09,11030244.0,2619748.75,60,804,92900.83,0
Tech,5,22799712.97,8938422.8,4716788.6,12,313,1616794.7,0
Manufacturing,5,11929244.37,3046546.74,3447991.24,60,727,990353.82,0
Logistics,14,19857500.07,5771748.15,3801270.91,60,689,415883.33,0
Retail,13,48494439.07,-3156003.26,4703544.81,24,569,1454543.99,0
Manufacturing,14,10201151.69,3803638.42,1694118.62,36,637,1079384.26,0
Manufacturing,9,14406258.23,1071571.34,790528.7,36,314,330533.88,0
Manufacturing,9,38726116.08,10873154.5,127058.37,60,438,397684.81,1
Services,3,38677882.16,13752818.68,1856482.07,24,340,1829919.35,1
Services,12,16879452.23,6108082.81,1623813.38,36,398,1182595.58,0
Services,3,23874638.8,7836693.86,3594899.46,24,304,1122554.4,1
Tech,7,2501462.68,-66032.95,643365.02,48,760,403438.4,1
Manufacturing,1,16060621.06,1523471.73,4547075.72,12,706,1208834.76,0
Services,13,11825509.19,4184007.7,1519782.12,48,385,1760935.68,0
Tech,14,31853485.95,-3914040.22,4037993.18,24,639,1785118.0,0
Services,10,6543353.76,1218511.82,4543459.36,12,684,455870.33,0
Retail,4,17952158.39,3897974.5,906813.68,36,710,834822.01,0
Logistics,3,13835910.52,3507744.88,924626.11,36,771,1406037.92,0
Services,1,13068812.99,3291698.94,3511890.94,12,686,601756.62,0
Logistics,1,13705660.21,-2548827.56,2114081.37,24,524,1268702.69,1
Retail,5,24727911.63,-4732681.75,1286070.83,24,738,1523239.23,0
Services,6,18705265.07,385637.13,3204295.58,36,810,180579.54,0
Retail,12,25655839.45,-448661.21,4305958.14,60,702,1422299.06,1
Tech,4,32436053.13,9580966.0,3485594.92,24,637,1675420.21,0
Tech,9,6116939.3,-947001.12,4398962.83,24,562,1319968.09,1
Services,9,26073476.62,6348956.61,4981643.13,60,553,1794431.52,1
Tech,11,9841001.86,2289776.64,3531753.37,12,507,1794220.52,1
Tech,8,44444619.89,-4913666.92,4684611.47,60,719,1797108.38,1
Logistics,3,18927996.94,-3105706.98,4870952.8,24,637,971227.51,0
Services,13,11601330.82,-316803.72,1262520.53,36,576,357645.42,1
Retail,8,42536558.82,231069.84,2884712.16,48,759,1017628.15,0
Services,6,12577487.35,-2311821.83,2026178.85,36,737,1812197.58,0
Logistics,5,25380536.11,1366936.52,2513336.7,24,752,460370.54,0
Services,4,1703640.34,21664.55,967842.33,36,519,939889.03,0
Manufacturing,6,18822855.66,7354579.67,4648760.96,36,796,1105529.93,0
Retail,12,42723968.05,9541572.18,1986978.87,48,460,633844.01,0
