applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
AUTO_0001,Trading,2,3101265,27798,1348032,764,1,0.31,1392257,Good,0
AUTO_0002,Services,0,993295,4271,326197,676,4,0.2,209684,Average,1
AUTO_0003,Services,6,2671349,21868,939754,504,1,0.3,371295,Average,1
AUTO_0004,Trading,5,515500,4836,125373,661,1,0.26,163570,Average,1
AUTO_0005,Manufacturing,6,441183,3318,192635,507,1,0.14,155881,Average,0
AUTO_0006,Manufacturing,2,474188,2243,97436,685,3,0.73,60540,Good,0
AUTO_0007,Manufacturing,2,3681994,34085,1192636,437,3,0.58,1232959,Poor,0
AUTO_0008,Services,2,1277623,11773,128679,464,3,0.1,92989,Average,1
AUTO_0009,Trading,8,8194141,68697,3899896,731,4,0.11,3566041,Poor,0
AUTO_0010,Services,4,676234,6723,324131,595,2,0.28,164559,Poor,1
AUTO_0011,Manufacturing,4,103893,612,50000,551,3,0.18,47564,Poor,1
AUTO_0012,Services,7,1694933,16646,456438,777,0,0.76,218504,Good,0
AUTO_0013,Services,2,14318543,78925,2454834,682,2,0.28,876811,Average,1
AUTO_0014,Manufacturing,5,2066740,15374,613791,737,1,0.45,566211,Average,1
AUTO_0015,Manufacturing,14,382119,1807,159177,633,1,0.32,158683,Good,0
AUTO_0016,Manufacturing,9,282340,3103,96591,900,0,0.22,120242,Average,0
AUTO_0017,Trading,5,8347580,72222,2596085,589,1,0.56,1661057,Poor,1
AUTO_0018,Trading,4,752439,9223,330905,824,2,0.5,354602,Good,0
AUTO_0019,Trading,6,12611938,151587,2840884,643,4,0.39,3301655,Average,0
AUTO_0020,Manufacturing,10,4346633,54280,1929842,484,5,0.76,1703650,Poor,1
AUTO_0021,Trading,10,787420,3945,217155,698,1,0.44,227831,Average,0
AUTO_0022,Manufacturing,12,8045023,74187,812270,681,2,0.33,983449,Good,0
AUTO_0023,Manufacturing,5,654301,4948,256994,544,2,0.69,248025,Average,1
AUTO_0024,Trading,0,349128,3004,157504,557,2,0.46,131256,Poor,1
AUTO_0025,Trading,13,700749,4722,205841,647,0,0.64,272678,Good,0
AUTO_0026,Services,2,4987692,22779,1406026,684,3,0.39,1046657,Average,0
AUTO_0027,Manufacturing,7,7768288,78184,3279610,402,2,0.1,2350285,Poor,1
AUTO_0028,Trading,0,1232761,15058,559562,755,1,0.17,777452,Good,1
AUTO_0029,Trading,4,210665,1812,103176,600,4,0.56,107863,Poor,0
AUTO_0030,Manufacturing,3,306165,2116,72946,516,0,0.31,69147,Poor,1
AUTO_0031,Trading,12,550633,6599,186045,744,4,0.44,259191,Good,0
AUTO_0032,Manufacturing,5,419661,3023,180104,647,4,0.57,254007,Average,0
AUTO_0033,Manufacturing,4,2726464,32138,852676,771,1,0.43,658825,Good,0
AUTO_0034,Services,5,20292035,229247,5777981,693,1,0.27,2479829,Average,0
AUTO_0035,Services,0,5152187,44167,1693899,649,1,0.4,1145011,Good,0
AUTO_0036,Services,2,512022,5021,124291,634,4,0.42,61575,Good,0
AUTO_0037,Trading,2,861774,8620,152387,698,0,0.34,120085,Good,0
AUTO_0038,Manufacturing,6,1089087,10356,137935,608,2,0.19,201685,Good,0
AUTO_0039,Trading,1,3163080,17416,1088075,564,2,0.35,780191,Poor,0
AUTO_0040,Trading,4,13065760,129871,3288047,710,2,0.39,3650840,Average,0
AUTO_0041,Manufacturing,3,1131573,4745,512807,635,4,0.18,475842,Good,0
AUTO_0042,Trading,2,12566344,126714,2377347,653,4,0.26,2261573,Good,1
AUTO_0043,Manufacturing,2,24758839,217637,5553027,758,4,0.29,3365068,Good,0
AUTO_0044,Services,3,1302911,8249,636084,638,2,0.12,240801,Average,1
AUTO_0045,Manufacturing,0,1263285,13725,407430,651,4,0.42,271754,Average,1
AUTO_0046,Trading,7,1286269,9703,307033,590,3,0.44,383676,Average,1
AUTO_0047,Trading,2,2137159,17556,949663,693,2,0.32,1137453,Average,1
AUTO_0048,Trading,3,1290041,5672,512597,684,4,0.19,663353,Poor,1
AUTO_0049,Trading,11,5728778,43028,1886241,740,2,0.46,2262098,Good,0
AUTO_0050,Manufacturing,7,309094,1718,140835,592,2,0.48,88544,Poor,1
AUTO_0051,Services,1,1043878,6751,143621,604,1,0.41,106178,Good,1
AUTO_0052,Services,0,2943204,18447,758750,729,2,0.41,261206,Poor,1
AUTO_0053,Services,6,5632710,25629,2389508,675,0,0.49,1016078,Average,1
AUTO_0054,Services,3,27628048,221138,7027945,559,2,0.39,4240933,Poor,0
AUTO_0055,Trading,4,422172,3597,198714,780,1,0.26,127266,Good,0
AUTO_0056,Services,7,906683,8092,145983,480,1,0.39,48941,Poor,1
AUTO_0057,Manufacturing,7,130654,1047,50000,728,3,0.34,68828,Average,0
AUTO_0058,Manufacturing,2,523429,5973,141481,523,3,0.39,117714,Poor,0
AUTO_0059,Manufacturing,3,237349,1063,88954,838,2,0.53,103683,Good,0
AUTO_0060,Trading,5,1060703,9845,188953,495,3,0.22,256739,Poor,1
AUTO_0061,Trading,5,1507497,17161,156697,765,2,0.43,230846,Good,0
AUTO_0062,Manufacturing,4,3482792,15702,1708670,641,2,0.21,1213643,Average,0
AUTO_0063,Services,10,1385650,11504,636710,613,1,0.26,198312,Good,0
AUTO_0064,Trading,5,3484811,31625,766967,668,2,0.64,951604,Good,0
AUTO_0065,Manufacturing,7,2273631,13090,667065,713,0,0.47,459075,Good,0
AUTO_0066,Trading,5,573786,3598,169592,559,1,0.42,183191,Poor,1
AUTO_0067,Manufacturing,1,262097,2807,117338,568,2,0.15,121168,Poor,1
AUTO_0068,Services,2,3994457,35530,1353418,714,1,0.36,717259,Good,0
AUTO_0069,Manufacturing,1,14300478,97216,6157391,479,1,0.1,7079724,Average,1
AUTO_0070,Services,8,41552241,437945,19313384,591,3,0.41,13045148,Poor,1
AUTO_0071,Services,0,6092357,63295,1988431,900,3,0.21,767353,Good,0
AUTO_0072,Manufacturing,3,11398795,80304,2441541,553,3,0.48,2576419,Average,0
AUTO_0073,Manufacturing,3,3449540,28419,1033079,764,2,0.42,864361,Good,0
AUTO_0074,Services,3,2848808,27645,1254466,591,4,0.22,513537,Poor,1
AUTO_0075,Services,3,2265262,15918,755346,700,2,0.46,196548,Good,0
AUTO_0076,Services,12,1746332,16430,800324,715,2,0.71,439939,Good,0
AUTO_0077,Services,0,4108184,25712,1882264,762,1,0.37,1385822,Good,0
AUTO_0078,Manufacturing,9,1061595,7006,264702,629,1,0.53,333857,Average,0
AUTO_0079,Trading,3,1661230,11222,463891,848,1,0.1,344575,Good,0
AUTO_0080,Manufacturing,7,482357,5772,179034,591,1,0.47,217727,Average,1
AUTO_0081,Services,4,3505739,38962,506319,673,1,0.31,201845,Average,0
AUTO_0082,Trading,1,627239,5567,179530,674,3,0.36,225067,Average,1
AUTO_0083,Trading,10,2064696,18304,329843,537,2,0.49,446914,Poor,1
AUTO_0084,Manufacturing,9,3614952,16753,1587623,621,0,0.36,1324600,Good,0
AUTO_0085,Trading,1,4005062,38365,1910870,666,2,0.16,959613,Good,0
AUTO_0086,Trading,6,5004310,34534,783772,606,1,0.63,630950,Average,1
AUTO_0087,Services,2,1535014,14228,563252,894,2,0.18,198787,Good,0
AUTO_0088,Trading,0,3552906,39681,1259921,566,2,0.27,1409366,Poor,1
AUTO_0089,Services,2,1105766,5026,446762,767,4,0.42,176487,Good,1
AUTO_0090,Trading,10,186269,1718,70467,735,5,0.42,37773,Average,1
AUTO_0091,Manufacturing,7,3746644,33226,700066,648,1,0.46,722002,Good,1
AUTO_0092,Services,3,2836795,16707,614123,563,0,0.42,422113,Poor,1
AUTO_0093,Services,10,6689088,63904,1111009,573,1,0.57,528473,Poor,1
AUTO_0094,Trading,9,1923493,16908,901074,598,4,0.47,789608,Poor,1
AUTO_0095,Services,2,289584,3058,89403,471,2,0.22,30330,Poor,1
AUTO_0096,Trading,11,1776299,9038,871211,549,1,0.1,773097,Poor,1
AUTO_0097,Trading,3,5745322,45177,1607131,501,1,0.42,1335395,Poor,0
AUTO_0098,Trading,3,3510404,43819,1127153,784,4,0.62,1685006,Good,0
AUTO_0099,Manufacturing,0,1662622,16477,691181,711,2,0.21,366650,Average,0
AUTO_0100,Manufacturing,2,269339,2658,112823,728,1,0.24,83359,Average,0
AUTO_0101,Manufacturing,3,578839,3945,111403,708,2,0.45,63346,Good,1
AUTO_0102,Trading,5,3515480,17398,756929,666,2,0.47,1027469,Good,0
AUTO_0103,Trading,1,268823,3247,50000,796,5,0.57,45865,Good,0
AUTO_0104,Trading,2,1353366,6828,571371,588,3,0.65,740650,Poor,1
AUTO_0105,Services,12,2076317,25827,866954,660,4,0.44,516771,Good,1
AUTO_0106,Manufacturing,8,7880678,41096,1044217,724,1,0.26,1491174,Good,0
AUTO_0107,Trading,9,4144897,23173,841302,517,2,0.27,440643,Poor,1
AUTO_0108,Services,3,6295675,42410,1762454,900,2,0.32,623331,Good,0
AUTO_0109,Manufacturing,5,2848274,24029,902081,652,0,0.55,1084330,Average,0
AUTO_0110,Manufacturing,6,718921,7730,222159,664,1,0.32,241092,Good,0
AUTO_0111,Manufacturing,12,949420,11638,468282,775,0,0.54,559437,Good,0
AUTO_0112,Manufacturing,0,647457,4633,262641,741,3,0.17,282465,Good,0
AUTO_0113,Services,2,4028630,17471,585259,653,3,0.44,316338,Good,0
AUTO_0114,Services,5,862243,8023,187452,663,1,0.29,134269,Average,1
AUTO_0115,Trading,4,1235763,12468,294322,499,0,0.48,418317,Poor,0
AUTO_0116,Services,2,2037001,15234,460482,594,1,0.36,123868,Poor,0
AUTO_0117,Services,6,14211683,80944,5889012,701,2,0.52,2690302,Good,0
AUTO_0118,Manufacturing,2,4362521,29302,1065434,694,1,0.33,1076696,Good,0
AUTO_0119,Services,4,784322,7554,232920,772,0,0.4,99911,Good,0
AUTO_0120,Trading,5,2379062,19710,745554,637,2,0.52,409725,Average,1
AUTO_0121,Services,2,14383238,149037,2994151,511,5,0.38,1455604,Poor,0
AUTO_0122,Services,7,4148324,24826,950291,755,0,0.41,701170,Good,0
AUTO_0123,Trading,8,291296,3257,120013,793,2,0.51,68672,Good,0
AUTO_0124,Manufacturing,2,661134,3613,295310,739,3,0.39,388828,Average,0
AUTO_0125,Manufacturing,2,603002,4170,69243,633,2,0.16,48169,Average,1
AUTO_0126,Trading,1,11171492,101586,3821340,754,2,0.31,4114799,Good,0
AUTO_0127,Services,4,8953342,92283,3163880,900,2,0.11,1403229,Good,0
AUTO_0128,Services,5,936547,5979,369864,661,2,0.36,157008,Average,0
AUTO_0129,Manufacturing,3,912646,11013,344559,518,3,0.47,472188,Poor,0
AUTO_0130,Trading,5,2091997,21026,943427,591,1,0.42,1390115,Poor,0
AUTO_0131,Trading,2,2168622,12969,284932,712,6,0.61,252639,Average,1
AUTO_0132,Manufacturing,2,624813,6382,159545,489,2,0.59,181952,Poor,1
AUTO_0133,Manufacturing,5,1470397,14659,607032,666,4,0.44,641276,Poor,0
AUTO_0134,Trading,2,346513,3617,151991,688,1,0.1,87686,Good,0
AUTO_0135,Services,3,9127339,107693,1879386,803,2,0.5,508525,Good,1
AUTO_0136,Trading,5,239810,2421,80123,781,1,0.28,102029,Good,0
AUTO_0137,Trading,5,236634,1679,50000,736,2,0.53,44726,Good,1
AUTO_0138,Services,2,3341890,35939,1471627,433,1,0.45,594223,Average,0
AUTO_0139,Trading,8,449435,4478,176255,742,7,0.5,261841,Average,0
AUTO_0140,Services,6,1086902,9730,205235,720,2,0.48,60054,Good,0
AUTO_0141,Services,5,2138911,15218,747569,675,0,0.76,287463,Good,0
AUTO_0142,Manufacturing,1,4458669,52799,1354223,476,1,0.48,1837412,Average,1
AUTO_0143,Trading,4,1520730,12834,309515,572,4,0.21,283205,Poor,1
AUTO_0144,Trading,2,16768390,157637,7667330,533,3,0.56,8313280,Poor,0
AUTO_0145,Manufacturing,5,1981715,15116,315361,448,0,0.34,172938,Poor,1
AUTO_0146,Manufacturing,0,8276689,88340,2375276,649,1,0.6,3373585,Poor,1
AUTO_0147,Trading,3,2769748,19412,922656,570,0,0.63,587656,Poor,1
AUTO_0148,Trading,2,25583334,279419,10985950,900,3,0.49,7837004,Good,0
AUTO_0149,Manufacturing,7,7060569,35770,1130199,633,3,0.21,742310,Average,1
AUTO_0150,Manufacturing,0,2088932,21045,717902,779,2,0.33,716107,Good,0
AUTO_0151,Services,4,4216841,34327,432748,493,0,0.6,284932,Average,0
AUTO_0152,Manufacturing,6,1449922,14484,622063,596,2,0.7,477074,Poor,1
AUTO_0153,Manufacturing,13,1432483,12312,277748,659,3,0.41,178403,Good,0
AUTO_0154,Trading,2,414947,2193,161151,559,1,0.36,146634,Poor,1
AUTO_0155,Services,5,751695,6119,256140,607,3,0.22,189755,Average,1
AUTO_0156,Manufacturing,0,23515390,286997,2823044,628,4,0.22,1442739,Good,1
AUTO_0157,Trading,4,467503,4888,81014,626,4,0.43,81337,Average,1
AUTO_0158,Services,9,902937,6021,186994,835,3,0.51,109332,Good,0
AUTO_0159,Manufacturing,13,1771855,21323,805646,687,3,0.18,1052754,Good,0
AUTO_0160,Services,5,1844112,19654,539073,697,1,0.52,335893,Average,1
AUTO_0161,Trading,0,3142316,22636,1462437,703,2,0.61,840064,Good,1
AUTO_0162,Trading,10,1129239,10384,134356,711,1,0.49,129233,Average,0
AUTO_0163,Trading,0,3383602,26129,347244,641,2,0.65,200967,Good,1
