applicant_id,business_type,years_in_operation,promoter_credit_score,promoter_exp_years,prior_default,annual_revenue,gst_turnover,ebitda_margin,net_margin,total_debt,existing_emi,loan_amount_requested,loan_tenure_months,loan_purpose,proposed_emi,dscr,collateral_type,collateral_value,default_probability_true,default_flag
APP_00001,Retail/Trading,4,766,18,0,8173640,9116344,0.1127,0.0028,464136,5887,1161445,12,Equipment Purchase,114086,0.64,Receivables,2182500,0.2689,0
APP_00002,Construction,0,668,5,0,8089484,9256530,0.1007,0.022,3862938,47135,764400,36,Working Capital,29687,0.88,Receivables,789304,0.7858,1
APP_00003,Services,9,743,13,1,6379432,5736805,0.1244,0.1104,1018135,19758,694469,36,Equipment Purchase,28427,1.37,Machinery,922021,0.2689,0
APP_00004,Services,8,733,19,0,4384081,3723488,0.2554,0.186,4714829,71873,1008312,12,Equipment Purchase,99037,0.55,Machinery,1700752,0.2689,0
APP_00005,Manufacturing,9,654,19,0,6519717,7099481,0.1233,0.0592,1923752,23459,2402058,36,Expansion,99019,0.55,Inventory,1246627,0.5,0
APP_00006,Manufacturing,3,682,16,0,166808477,195115550,0.1468,0.0778,90103395,1502348,50000000,36,Working Capital,2054579,0.57,Machinery,52266162,0.5,1
APP_00007,Manufacturing,4,686,14,0,7273432,5921005,0.1472,0.1119,5570831,95234,828241,48,Expansion,28111,0.72,Real Estate,699488,0.5,1
APP_00008,Logistics,4,781,12,0,3246588,2616017,0.1046,0.0353,457804,7464,800581,48,Expansion,26908,0.82,Machinery,955189,0.1192,0
APP_00009,Services,12,805,19,1,4753355,4151438,0.2507,0.1696,5691936,151412,1646674,36,Inventory Restocking,70022,0.45,Inventory,3050784,0.5,1
APP_00010,Services,7,621,16,0,4202225,4512840,0.3932,0.2024,1174253,23296,1003586,36,Working Capital,40642,2.15,Receivables,1042551,0.0474,0
APP_00011,Manufacturing,6,681,11,0,5857203,6946129,0.1623,0.0646,5293766,76112,2161315,24,Expansion,118836,0.41,Inventory,3780111,0.5,1
APP_00012,Construction,10,833,20,0,1805259,1986059,0.1357,0.0398,394137,4783,663901,48,Debt Consolidation,22923,0.74,Inventory,626764,0.1545,0
APP_00013,Tech/Startup,4,787,12,0,14058310,14468995,0.1108,-0.0403,7587251,119862,2416418,36,Equipment Purchase,97663,0.6,Receivables,4696015,0.4502,1
APP_00014,Retail/Trading,8,624,12,0,7696168,8313552,0.1105,-0.029,739943,16391,2738876,36,Working Capital,115625,0.54,Real Estate,4594736,0.8176,1
APP_00015,Manufacturing,20,630,29,0,2090816,1865591,0.1062,0.1236,510645,9040,532720,60,Inventory Restocking,14267,0.79,Machinery,268267,0.5,1
APP_00016,Manufacturing,14,594,28,0,18324000,19706010,0.0949,0.057,6928920,116411,3993646,60,Expansion,114390,0.63,Machinery,4767645,0.8176,1
APP_00017,Retail/Trading,8,838,11,0,549520,510272,0.0638,0.0726,144521,3337,176391,48,Debt Consolidation,5983,0.31,Inventory,188279,0.1192,0
APP_00018,Services,6,718,19,0,71348554,63426642,0.2832,0.1417,87752752,1693886,23285732,60,Equipment Purchase,623162,0.73,Real Estate,23685950,0.2689,0
APP_00019,Retail/Trading,9,679,14,0,51765908,46310940,0.057,0.0095,7164537,124898,14825643,48,Equipment Purchase,526575,0.38,Receivables,14878495,0.5,1
APP_00020,Retail/Trading,15,661,18,0,42719700,45586836,0.0172,0.0057,3062852,63058,14260383,48,Debt Consolidation,498618,0.11,Inventory,21694534,0.5,1
APP_00021,Services,14,695,21,0,2970274,3287767,0.3381,0.1947,2868567,54137,1137610,24,Working Capital,60022,0.73,Receivables,1401513,0.5,0
APP_00022,Manufacturing,16,670,22,0,7194336,7429740,0.1328,0.0652,3452649,70090,2558166,60,Equipment Purchase,72461,0.56,Machinery,4734557,0.5,1
APP_00023,Retail/Trading,7,473,11,0,2555637,2109785,0.137,0.0119,1229032,18788,194199,48,Equipment Purchase,6645,1.15,Real Estate,195836,0.6225,1
APP_00024,Retail/Trading,0,435,9,0,9036783,7366819,0.1134,-0.0032,1459435,22884,3140373,24,Equipment Purchase,167607,0.45,Receivables,5166810,0.982,1
APP_00025,Retail/Trading,19,740,24,0,5509797,4886455,0.0884,0.0158,2512644,40214,1782610,36,Expansion,74979,0.35,Receivables,981544,0.2689,0
APP_00026,Tech/Startup,3,763,13,0,3102426,2837439,0.1229,-0.0113,2009886,49451,1161422,12,Expansion,109842,0.2,Receivables,1960873,0.69,0
APP_00027,Manufacturing,10,610,16,0,3063008,2946393,0.1197,0.048,594286,13262,946007,60,Equipment Purchase,29097,0.72,Real Estate,699315,0.5,1
APP_00028,Services,0,786,1,0,5950485,4941349,0.2351,0.1901,3904279,94489,2125803,36,Inventory Restocking,85246,0.65,Inventory,1681329,0.2689,1
APP_00029,Services,6,500,14,0,182714135,199170010,0.2566,0.1478,143323300,3671427,9789196,24,Equipment Purchase,527966,0.93,None,0,0.8808,1
APP_00030,Manufacturing,5,802,11,0,25819505,28003816,0.2077,0.0956,18871004,394396,10127232,24,Working Capital,531769,0.48,Inventory,14120948,0.1192,0
APP_00031,Services,16,720,23,0,5973242,5606909,0.366,0.1173,1361036,30020,697777,60,Inventory Restocking,22038,3.5,Receivables,906182,0.018,0
APP_00032,Manufacturing,8,570,21,1,4336490,4445773,0.1495,0.0385,3030725,42806,1528527,36,Working Capital,60380,0.52,Machinery,1358164,0.9707,1
APP_00033,Manufacturing,6,678,10,0,11382584,9565540,0.0955,0.1194,5695082,82058,4272609,36,Debt Consolidation,165781,0.37,Inventory,7589091,0.5,1
APP_00034,Logistics,8,617,22,0,2582999,2495402,0.0749,0.097,247947,5429,131160,36,Debt Consolidation,4976,1.55,None,0,0.1824,0
APP_00035,Construction,0,832,2,0,4099307,4685614,0.0846,0.0572,1883146,42850,1515871,12,Expansion,145222,0.15,Real Estate,1321835,0.3318,0
APP_00036,Tech/Startup,4,759,5,0,518212,551506,0.0403,-0.0303,108184,2518,176308,12,Expansion,16484,0.09,None,0,0.7858,0
APP_00037,Retail/Trading,4,474,18,0,6010534,5058330,0.0902,0.0677,1888421,36766,2240994,36,Expansion,89762,0.36,Receivables,1705061,0.8176,1
APP_00038,Manufacturing,9,624,10,0,6196716,7058252,0.1922,0.0837,2395126,47786,693467,36,Debt Consolidation,29327,1.29,Real Estate,627069,0.1192,0
APP_00039,Services,3,617,5,0,2806486,3009334,0.2558,0.112,1177984,31522,903981,36,Working Capital,36401,0.88,None,0,0.6225,1
APP_00040,Retail/Trading,7,798,7,0,9264197,9090238,0.0991,0.0271,2928785,46299,2043867,36,Inventory Restocking,77655,0.62,Inventory,3473054,0.1192,0
APP_00041,Manufacturing,6,528,6,0,6257942,6738779,0.1829,0.1025,3766206,47609,877308,12,Expansion,83042,0.73,Real Estate,1244747,0.8176,1
APP_00042,Retail/Trading,4,831,10,0,2847201,2474582,0.0479,0.0083,556921,9002,895900,60,Debt Consolidation,24109,0.34,Machinery,769130,0.1192,1
APP_00043,Manufacturing,4,809,13,0,14470996,14763231,0.1539,0.0721,10929332,279788,3120505,24,Expansion,174988,0.41,Machinery,2940421,0.1192,0
APP_00044,Logistics,6,693,17,0,4344312,4549236,0.047,0.0199,1151038,17768,1585498,12,Equipment Purchase,149883,0.1,Inventory,1797711,0.5,0
APP_00045,Retail/Trading,1,638,11,0,1533416,1795780,0.1338,0.0435,1000916,16885,458117,24,Inventory Restocking,23818,0.42,Inventory,758830,0.7311,1
APP_00046,Services,10,830,17,1,651125,538321,0.2487,0.1875,890420,11195,100000,12,Working Capital,9816,0.64,Real Estate,113547,0.5,0
APP_00047,Retail/Trading,3,777,8,0,30173977,28662655,0.0769,0.0512,7534753,141009,4156984,24,Expansion,224903,0.53,Inventory,2414005,0.2689,0
APP_00048,Services,5,586,11,0,6268818,7364142,0.2482,0.1518,1110508,15403,893850,36,Equipment Purchase,35581,2.54,Real Estate,532078,0.1824,0
APP_00049,Services,16,662,16,1,5957844,5283942,0.4071,0.1292,1903975,50309,1015321,48,Equipment Purchase,36012,2.34,Receivables,964415,0.2689,0
APP_00050,Manufacturing,10,580,23,0,5113745,5754395,0.1775,0.0959,1794607,25407,1448507,24,Inventory Restocking,78684,0.73,Real Estate,2185053,0.8176,0
APP_00051,Construction,2,853,2,0,23245905,18611652,0.1975,0.0578,17799067,468479,8438644,36,Debt Consolidation,330669,0.48,None,0,0.2315,0
APP_00052,Tech/Startup,0,477,8,0,6395636,5182726,0.2001,-0.0608,2998756,57068,1648763,60,Debt Consolidation,50496,0.99,Receivables,967328,0.9866,1
APP_00053,Logistics,9,667,13,0,34540300,32158717,0.0976,0.0753,4764870,58458,10815624,24,Expansion,573505,0.44,Machinery,6204012,0.5,0
APP_00054,Logistics,5,665,11,0,6420246,7109789,0.1815,0.0126,6033942,86503,1032738,48,Expansion,34129,0.81,Real Estate,713812,0.5,0
APP_00055,Services,7,851,12,0,500000,420828,0.2115,0.1551,625719,7782,116431,24,Debt Consolidation,6483,0.62,Machinery,98646,0.1192,0
APP_00056,Logistics,10,566,13,0,24649263,23494234,0.1497,0.0905,2183334,36510,5581683,24,Working Capital,314382,0.88,Machinery,9673140,0.8176,1
APP_00057,Manufacturing,11,699,11,0,7868088,6708231,0.1558,0.1146,1215578,18672,2324004,36,Working Capital,94836,0.9,Inventory,2384679,0.5,1
APP_00058,Manufacturing,4,693,7,0,2933533,2609194,0.0598,0.044,569658,9361,678484,24,Equipment Purchase,36768,0.32,Real Estate,718511,0.5,1
APP_00059,Manufacturing,6,705,15,0,3960722,3965465,0.1496,0.1113,1396821,23680,661396,60,Inventory Restocking,17889,1.19,Machinery,1001078,0.1192,0
APP_00060,Retail/Trading,8,707,17,0,3725483,3455964,0.0639,0.0213,1142989,17927,504309,12,Working Capital,48625,0.3,Machinery,667649,0.2689,0
APP_00061,Retail/Trading,8,528,15,1,1214892,1074893,0.0991,0.0232,493298,13027,169048,36,Expansion,6662,0.51,Real Estate,221151,0.9707,1
APP_00062,Retail/Trading,7,627,19,1,15442993,14785102,0.1502,0.033,2033493,45276,6073876,36,Working Capital,245083,0.67,Receivables,11130726,0.8808,1
APP_00063,Tech/Startup,15,632,26,0,3156469,3410318,0.2229,-0.0454,2460784,53146,552750,12,Inventory Restocking,53648,0.55,None,0,0.9089,0
APP_00064,Retail/Trading,8,827,18,1,1901662,1612166,0.0611,0.0327,272964,5019,631944,48,Expansion,21508,0.36,Machinery,776834,0.5,1
APP_00065,Retail/Trading,10,611,22,0,500000000,495918889,0.1347,0.0251,391221560,6880599,37489120,36,Inventory Restocking,1434425,0.68,None,0,0.6225,1
APP_00066,Services,7,493,7,0,1350991,1229250,0.1095,0.1358,460484,6439,109941,48,Debt Consolidation,3608,1.23,Real Estate,82290,0.6225,1
APP_00067,Manufacturing,3,586,4,0,4850812,4615297,0.0341,0.0955,927251,21099,1407477,48,Inventory Restocking,44801,0.21,Machinery,1030722,0.8176,1
APP_00068,Tech/Startup,4,659,11,0,500000,564311,0.0439,-0.0486,14633,230,105011,36,Inventory Restocking,4046,0.43,Receivables,150135,0.8581,1
APP_00069,Manufacturing,2,651,16,0,24279910,28453432,0.0764,0.0774,1981993,40391,8696399,36,Inventory Restocking,338112,0.41,Real Estate,15654447,0.5,0
APP_00070,Construction,12,893,13,0,3840313,3445494,0.1485,0.0452,1496627,24635,1350934,24,Expansion,76017,0.47,Real Estate,2555683,0.1545,0
APP_00071,Tech/Startup,1,707,11,0,14364980,15111792,0.0977,-0.1005,7551085,114276,4517499,24,Inventory Restocking,249498,0.32,Receivables,2398200,0.8581,1
APP_00072,Manufacturing,5,790,17,0,1737703,1860508,0.1522,0.0608,924712,14458,582757,12,Inventory Restocking,57037,0.31,Real Estate,1027808,0.1192,1
APP_00073,Manufacturing,5,739,16,0,775443,881674,0.1544,0.0764,602669,13005,275031,60,Equipment Purchase,8031,0.47,Machinery,544758,0.2689,1
APP_00074,Tech/Startup,4,579,18,0,2201864,2553318,0.088,-0.0634,399217,5698,713957,36,Expansion,26976,0.49,Receivables,1163447,0.9644,1
APP_00075,Services,5,754,14,0,27087270,26740464,0.2637,0.2,7950921,117998,6349588,12,Inventory Restocking,593721,0.84,Real Estate,4202155,0.2689,0
APP_00076,Services,17,727,25,0,10773803,12853472,0.2433,0.1662,4858395,60176,1537004,12,Working Capital,144566,1.07,Inventory,2293421,0.1192,0
APP_00077,Tech/Startup,1,591,3,0,774722,920626,0.1782,-0.0379,559145,8415,252236,24,Inventory Restocking,14017,0.51,None,0,0.9918,1
APP_00078,Manufacturing,14,777,16,0,500000,501293,0.1877,0.0543,496781,7038,100000,12,Working Capital,9434,0.47,Inventory,181059,0.2689,0
APP_00079,Retail/Trading,5,549,10,0,3665726,3727357,0.0981,0.0406,1079703,14409,497388,36,Debt Consolidation,19043,0.9,Machinery,702110,0.8176,1
APP_00080,Manufacturing,11,637,13,0,19992069,21333535,0.2388,0.0426,7471855,181849,2200800,12,Debt Consolidation,214882,1.0,Real Estate,1218129,0.2689,0
APP_00081,Logistics,6,860,14,0,2169005,2059527,0.2287,0.0845,1987421,28627,584581,12,Expansion,55229,0.49,Real Estate,976054,0.1192,0
APP_00082,Services,2,803,12,1,19610435,20881535,0.2983,0.1155,9260454,180544,2644813,36,Expansion,106559,1.7,Machinery,3745987,0.1192,0
APP_00083,Retail/Trading,15,687,22,0,6276758,6312624,0.0348,0.0488,793334,10506,1137283,60,Debt Consolidation,32258,0.43,Inventory,1216244,0.5,1
