applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
APP000001,Trading,5,2030913,10570,813324,733,0,0.792,558979,Average,0
APP000002,Services,1,1975078,18989,244537,700,0,0.407,337191,Average,0
APP000003,Services,10,9804988,65017,2313804,649,0,0.748,3280440,Good,0
APP000004,Trading,10,11787368,123794,2537451,609,1,1.676,2305471,Poor,1
APP000005,Manufacturing,10,34703111,214110,4918129,709,0,1.033,2625158,Poor,1
APP000006,Manufacturing,4,354111,3493,86753,459,0,0.971,76781,Good,0
APP000007,Manufacturing,5,1826062,12097,401237,633,1,0.447,552544,Good,0
APP000008,Services,5,21642281,91798,7657032,549,1,0.487,6084768,Good,0
APP000009,Trading,14,271692,2566,123163,542,0,0.182,114666,Good,1
APP000010,Services,8,604778,3090,170509,614,1,0.177,266315,Good,1
APP000011,Manufacturing,8,1401925,13543,558899,900,0,1.027,613376,Good,0
APP000012,Services,12,78594665,933710,12449720,737,1,0.928,7446651,Average,0
APP000013,Services,5,795710,9742,364424,546,1,0.673,400410,Good,1
APP000014,Manufacturing,9,18108801,111055,2916203,789,2,2.081,5831395,Poor,0
APP000015,Manufacturing,22,3824757,41729,676371,563,2,0.956,603037,Average,0
APP000016,Manufacturing,16,679246,4831,96850,833,0,1.599,86960,Good,0
APP000017,Manufacturing,9,237555993,2772391,53182087,579,1,0.55,40143414,Good,0
APP000018,Trading,8,4727622,50723,1517397,676,1,0.619,1376971,Good,0
APP000019,Trading,10,6322426,30238,3130850,878,0,1.18,4264624,Poor,0
APP000020,Manufacturing,17,8527144,64460,3558779,648,2,0.208,6928598,Average,0
APP000021,Trading,16,7525849,52512,1897825,865,3,0.283,2678861,Average,0
APP000022,Manufacturing,19,98155483,1051229,32424527,680,2,0.47,36145934,Average,1
APP000023,Manufacturing,9,51913709,393802,18134663,659,0,0.524,19666143,Good,0
APP000024,Trading,1,816312,8058,350272,563,0,1.103,187864,Good,1
APP000025,Trading,21,81711697,750682,32241859,833,4,1.604,16243882,Good,1
APP000026,Services,4,1189473,14626,389809,608,0,0.693,661034,Good,0
APP000027,Manufacturing,12,5936854,71132,2182822,864,1,0.604,2696311,Good,0
APP000028,Trading,1,374247,2893,149087,589,0,1.663,81970,Average,0
APP000029,Trading,8,16715895,170443,2561838,620,0,0.409,2380051,Good,0
APP000030,Manufacturing,6,2185219,24209,393737,762,0,1.389,407526,Good,0
APP000031,Trading,19,693649,8086,260419,677,0,1.87,436184,Average,0
APP000032,Manufacturing,9,21187654,100311,9326174,696,1,0.591,10739835,Average,0
APP000033,Manufacturing,8,30439849,203459,8027137,535,2,0.365,13517299,Good,0
APP000034,Services,10,32620919,222972,16048061,681,1,2.012,23279334,Poor,0
APP000035,Services,0,332892,2592,62060,687,0,0.614,34114,Good,0
APP000036,Services,5,36364534,202812,9697683,832,0,0.624,18939895,Average,1
APP000037,Manufacturing,5,2186946,18155,549818,612,2,1.119,424541,Poor,1
APP000038,Manufacturing,11,78736329,763226,37172867,705,0,0.539,33954787,Good,0
APP000039,Services,4,8681034,72151,1859055,779,2,2.086,3186310,Poor,0
APP000040,Trading,9,5194830,50467,1497754,672,0,0.182,1175377,Average,0
APP000041,Manufacturing,7,3542843,16723,619620,772,1,1.008,682593,Good,0
APP000042,Trading,5,3362837,38560,1037457,900,2,1.242,1864815,Average,0
APP000043,Manufacturing,5,1238632,14853,548666,662,0,0.987,798807,Poor,0
APP000044,Services,7,704724,6565,156177,796,1,1.139,148855,Average,0
APP000045,Manufacturing,1,1916396,22060,813159,703,0,1.976,1192151,Average,1
APP000046,Services,12,21848907,114970,10149355,759,1,1.816,17446098,Good,0
APP000047,Manufacturing,4,418437,4524,54055,728,1,0.736,59775,Good,0
APP000048,Trading,6,25887434,133567,10421499,768,0,1.148,14147310,Good,1
APP000049,Trading,18,4783098,36192,966842,786,2,0.201,1916175,Good,0
APP000050,Manufacturing,12,11822802,81165,2011425,666,3,1.028,3915931,Poor,0
APP000051,Services,3,11749245,106290,4000018,600,0,0.411,5054246,Good,0
APP000052,Services,0,13157696,87884,5029411,692,0,1.452,3240006,Good,0
APP000053,Services,10,3718803,35245,959095,524,0,0.52,1487578,Good,0
APP000054,Services,6,3748189,27092,433551,723,0,1.523,391466,Good,1
APP000055,Trading,9,13623716,154491,6314344,742,0,0.695,9498114,Good,0
APP000056,Services,12,767878,7255,301237,656,1,1.909,309561,Good,0
APP000057,Manufacturing,13,615709,3670,128477,680,1,0.996,202754,Good,0
APP000058,Manufacturing,6,1725864,12025,515594,753,1,1.745,541880,Poor,0
APP000059,Manufacturing,7,5388590,60505,598764,738,0,1.294,1144712,Good,1
APP000060,Manufacturing,10,64142447,473841,15119215,762,0,1.957,10659187,Poor,0
APP000061,Trading,10,3864273,33355,1194114,747,1,1.561,719581,Good,0
APP000062,Manufacturing,8,70928991,679110,21767358,676,1,1.533,36390639,Good,0
APP000063,Services,17,8286931,58547,1518778,682,4,0.803,1673676,Good,1
APP000064,Trading,10,1821400,12051,748047,712,3,1.209,896432,Poor,0
APP000065,Manufacturing,12,20458963,166272,4491660,819,0,0.651,8537414,Average,0
APP000066,Trading,9,2475327,14746,822214,694,3,0.287,1138668,Good,0
APP000067,Manufacturing,4,4955630,32385,1033788,788,0,1.45,1540608,Average,0
APP000068,Services,5,462422,2165,124884,456,0,0.548,66088,Good,0
APP000069,Manufacturing,3,350306,2346,64108,688,0,0.855,96532,Average,1
APP000070,Services,14,8550596,58479,3020097,686,0,0.641,3269343,Poor,0
APP000071,Services,2,17459527,212690,4718153,487,0,0.479,5616119,Good,0
APP000072,Manufacturing,7,64757488,588067,6893235,512,1,0.278,11801736,Average,0
APP000073,Manufacturing,6,1029115,11040,114505,708,0,0.742,147217,Good,0
APP000074,Services,6,31136306,141508,8981383,672,1,0.305,17785888,Poor,1
APP000075,Services,6,24889068,125801,4313035,741,0,1.127,7311528,Good,0
APP000076,Services,19,1862088,20398,621968,428,4,0.337,990724,Good,0
APP000077,Services,1,26484776,247974,6972824,758,0,1.886,9643624,Good,1
APP000078,Manufacturing,16,15630654,90004,5654669,789,2,2.036,6325284,Good,0
APP000079,Trading,6,19221567,144929,9244767,523,0,0.679,5355572,Average,0
APP000080,Manufacturing,12,94524465,818166,29443846,814,1,0.644,15538808,Good,0
APP000081,Services,8,18401703,206039,7635813,845,0,0.298,4353468,Average,0
APP000082,Trading,3,136517,637,54772,522,1,1.869,106162,Poor,1
APP000083,Manufacturing,17,6204866,56708,2908322,694,1,1.265,2864168,Good,0
APP000084,Manufacturing,15,358455,3635,66531,699,6,1.559,103183,Good,0
APP000085,Manufacturing,3,4225862,52044,1821054,476,0,1.802,2533945,Poor,1
APP000086,Manufacturing,11,4175738,45486,1930060,638,1,1.88,2620059,Average,0
APP000087,Services,5,1430089,9250,367683,800,1,1.724,503307,Good,0
