sk_id_curr,amt_income_total,amt_credit,amt_annuity,amt_goods_price,name_contract_type,term,int_rate,grade,fico_score,dti,emp_length,home_ownership,business_type,monthly_cashflow,operating_expenses,repayment_history,target
100000,189195.54,75003.81,2291.78,6534.74,Cash loans, 36 months,13.42,C,686,24.04,7,MORTGAGE,Trading,4729.89,11036.41,Good,0
100001,75040.41,50881.92,1554.73,32967.29,Cash loans, 36 months,19.73,E,598,11.69,27,OWN,Trading,1876.01,4377.36,Good,0
100002,25000.0,31358.38,958.17,3059.87,Revolving loans, 36 months,7.62,A,848,38.63,24,OWN,Manufacturing,625.0,1458.33,Good,0
100003,25000.0,4133.45,75.78,1604.48,Cash loans, 60 months,9.37,B,720,21.87,11,OWN,Services,625.0,1458.33,Average,0
100004,25000.0,18010.69,550.33,14070.88,Revolving loans, 36 months,20.49,E,595,33.78,13,MORTGAGE,Services,625.0,1458.33,Average,0
100005,25568.51,10585.55,323.45,6722.91,Cash loans, 36 months,7.21,A,763,31.61,8,OWN,Trading,639.21,1491.5,Good,0
100006,25000.0,17946.21,329.01,17162.61,Cash loans, 60 months,6.24,A,809,18.89,22,OWN,Trading,625.0,1458.33,Average,0
100007,320323.78,464552.6,14194.66,306142.37,Cash loans, 36 months,13.39,C,694,22.53,6,OWN,Manufacturing,8008.1,18685.55,Good,0
100008,631973.67,411116.42,12561.89,573320.96,Cash loans, 36 months,17.74,D,648,25.34,12,OWN,Trading,15799.34,36865.13,Average,0
100009,76786.96,47381.49,1447.77,36.98,Cash loans, 36 months,19.97,E,612,21.36,6,RENT,Manufacturing,1919.67,4479.24,Good,0
100010,242133.45,191502.44,3510.88,276466.51,Cash loans, 60 months,12.6,C,683,19.89,23,MORTGAGE,Manufacturing,6053.34,14124.45,Poor,0
100011,52772.86,19805.67,605.17,29282.2,Cash loans, 36 months,7.46,A,814,9.51,0,OWN,Manufacturing,1319.32,3078.42,Good,0
100012,252685.63,179275.94,5477.88,10965.0,Cash loans, 36 months,6.03,A,850,27.1,15,RENT,Services,6317.14,14740.0,Average,0
100013,55914.08,60595.63,1110.92,61415.8,Cash loans, 60 months,9.46,B,720,27.83,0,OWN,Trading,1397.86,3261.65,Poor,0
100014,25000.0,29018.94,532.01,8214.12,Cash loans, 60 months,10.69,B,711,28.01,15,RENT,Trading,625.0,1458.33,Average,0
100015,114517.75,143400.87,4381.69,21826.66,Cash loans, 36 months,6.45,A,850,26.08,3,RENT,Manufacturing,2862.95,6680.2,Good,0
100016,25000.0,33736.61,1030.84,4740.4,Cash loans, 36 months,12.49,C,697,10.61,7,RENT,Trading,625.0,1458.33,Poor,1
100017,60126.27,71918.08,2197.5,21062.25,Cash loans, 36 months,20.91,E,592,37.62,20,MORTGAGE,Manufacturing,1503.15,3507.37,Average,1
100018,163489.53,107813.64,3294.31,137646.21,Cash loans, 36 months,25.11,F,505,6.78,27,RENT,Services,4087.24,9536.89,Average,1
100019,25000.0,16526.3,504.97,21038.06,Cash loans, 36 months,9.84,B,744,11.86,1,OWN,Trading,625.0,1458.33,Average,0
100020,136537.57,182268.3,3341.59,217571.67,Cash loans, 60 months,6.75,A,787,13.52,3,MORTGAGE,Trading,3413.44,7964.69,Good,0
100021,744084.93,428204.2,13084.02,194789.35,Cash loans, 36 months,7.93,A,796,10.86,25,RENT,Services,18602.13,43404.95,Good,0
100022,108987.23,161254.62,2956.33,124883.72,Cash loans, 60 months,16.54,D,634,31.81,2,MORTGAGE,Trading,2724.68,6357.59,Good,1
100023,438791.65,174301.37,5325.88,143596.44,Cash loans, 36 months,25.48,F,573,38.19,0,OWN,Services,10969.79,25596.18,Good,1
100024,25000.0,6860.46,209.63,3204.66,Revolving loans, 36 months,9.03,B,722,7.01,24,OWN,Trading,625.0,1458.33,Good,0
100025,61368.0,116806.43,2141.45,45711.08,Cash loans, 60 months,13.37,C,700,21.58,22,OWN,Services,1534.2,3579.8,Poor,1
100026,195620.45,232670.45,7109.37,283114.86,Cash loans, 36 months,7.64,A,792,25.04,23,MORTGAGE,Trading,4890.51,11411.19,Good,0
100027,34603.43,44108.38,1347.76,43384.29,Cash loans, 36 months,19.99,E,587,10.43,1,OWN,Trading,865.09,2018.53,Good,1
100028,265444.69,168787.17,5157.39,190041.21,Cash loans, 36 months,9.83,B,730,39.62,24,RENT,Trading,6636.12,15484.27,Good,0
100029,101294.7,154642.06,2835.1,23920.93,Revolving loans, 60 months,7.79,A,830,12.8,11,OWN,Manufacturing,2532.37,5908.86,Good,0
100030,210216.28,54286.33,1658.75,49056.46,Cash loans, 36 months,13.89,C,687,8.51,18,OWN,Manufacturing,5255.4,12262.62,Good,0
100031,1108374.39,1559767.64,28595.74,2028170.63,Cash loans, 60 months,25.78,F,556,15.87,17,RENT,Trading,27709.36,64655.17,Good,0
100032,25000.0,49335.05,904.48,27844.18,Cash loans, 60 months,25.12,F,559,31.09,16,RENT,Services,625.0,1458.33,Good,1
100033,25000.0,29644.97,543.49,34115.2,Cash loans, 60 months,6.8,A,784,9.5,12,OWN,Manufacturing,625.0,1458.33,Good,0
100034,25000.0,4550.1,83.42,3601.64,Revolving loans, 60 months,7.11,A,814,2.95,12,RENT,Manufacturing,625.0,1458.33,Good,0
100035,252434.29,209516.29,3841.13,287641.04,Revolving loans, 60 months,12.67,C,685,4.27,20,MORTGAGE,Trading,6310.86,14725.33,Good,0
100036,25000.0,48783.75,894.37,51088.42,Cash loans, 60 months,17.63,D,647,12.38,27,OWN,Manufacturing,625.0,1458.33,Good,0
