applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
APP_00001,Trading,19,6040760.830134957,158212.59740369496,2239650.938846678,342,4,0.474690248799446,2202112.778759983,Good,0
APP_00002,Services,8,4856598.409651681,650723.9076799989,355538.5170105647,760,5,0.4722948564220348,2006354.507470148,Poor,0
APP_00003,Services,7,4921833.774128185,562575.3834866346,1331664.8375271854,401,5,0.6876745056020745,2471048.181951216,Good,1
APP_00004,Trading,16,7536755.9077888895,396373.27638683154,1779538.1824909446,308,2,0.41312724810368,2379913.03388571,Good,0
APP_00005,Manufacturing,19,6272636.890121302,273750.90745435574,2048089.4103472806,448,4,0.05245932072222656,265810.0938833356,Average,0
APP_00006,Manufacturing,6,6002339.869055091,326414.86380379926,2186489.965859167,637,5,0.5702536997035998,3060861.557116177,Good,0
APP_00007,Manufacturing,20,6551292.985587485,434362.5267714639,1447808.7350869535,523,3,0.8597631036873409,1967027.2201942713,Good,1
APP_00008,Services,21,4398819.450622764,362255.15999710653,635168.3766361,409,5,0.2684158561728302,2027131.9777468054,Good,0
APP_00009,Trading,11,9346331.32828604,397825.1253227422,152173.55747644952,653,5,0.7437643314963416,2418155.063451745,Good,0
APP_00010,Services,5,500000.0,641520.5806263806,1372418.4657153578,383,3,0.437166677040618,2904115.3361189403,Poor,1
APP_00011,Manufacturing,16,7915842.048237562,538551.2819949281,1297819.785555037,854,0,0.5965347594218511,3055095.250716744,Good,0
APP_00012,Services,7,6804215.037486218,224383.2297000045,942790.5827716684,365,2,0.8072426714582775,2665848.137721015,Poor,1
APP_00013,Services,5,5496576.503101708,411537.85034130426,2125166.1347531555,687,2,0.7053615708785325,253963.7256482218,Good,0
APP_00014,Manufacturing,11,5160057.915204223,321945.47352443275,696689.0799211181,434,1,0.801887380175537,1929041.5997093285,Average,1
APP_00015,Manufacturing,15,4688893.405725787,444691.468862233,1036607.6784769373,385,1,0.0580919820447539,1063976.7653439506,Good,0
APP_00016,Manufacturing,3,7206887.175926818,390500.2890236737,2316760.090452713,383,3,0.20921773694684842,2179232.966404017,Poor,1
APP_00017,Trading,5,4920271.052000232,845154.816815011,957526.7599478114,526,5,0.40997025068093773,1801308.3404193318,Average,0
APP_00018,Trading,23,3544230.5209538257,464389.2486303915,1726212.5863488002,559,4,0.7706655278351378,4036003.4925123323,Good,1
APP_00019,Trading,21,6803965.770643364,379872.39907498006,1493285.5001895365,319,5,0.7626331423474979,636775.0026490425,Good,1
APP_00020,Manufacturing,5,8169532.468119716,676450.9086000235,1670240.0595110345,334,5,0.20736928217785539,2010114.0484873294,Poor,1
APP_00021,Trading,9,1145661.7538424935,430832.41882788704,2117081.5137378955,742,4,0.17090606813136316,2113139.0538092116,Average,0
APP_00022,Manufacturing,15,9714183.661540639,172191.3555879485,1727703.7965024794,569,0,0.7594970699170525,1533576.639885624,Good,1
APP_00023,Manufacturing,3,2926537.404940717,381332.9530596976,529421.5404598328,705,2,0.5102191499261414,1976969.8631031632,Average,0
APP_00024,Trading,6,3079403.446969295,492055.48710580805,647823.891065133,807,3,0.5827542924891396,4141566.9966998794,Good,0
APP_00025,Trading,17,2510220.5610147747,472679.42243474536,1706376.4223202397,603,4,0.737825163465743,2362475.700864773,Average,1
APP_00026,Services,21,5001698.104929251,550776.2056552485,856381.7262817512,584,1,0.2299844940490875,3511720.683973854,Average,0
APP_00027,Manufacturing,8,2440563.430062732,423057.4703066728,2168699.583757115,847,3,0.16601207991902905,1530038.726391395,Good,0
