Date,Description,Amount
2024-10-04,Subscription,-479.3618121379315
2024-10-05,Rent,-312.9850366620271
2024-10-06,Subscription,-365.29729320822645
2024-10-07,Deposit / Salary,1194.1516892527839
2024-10-08,Utilities,-414.0921005644706
2024-10-09,Subscription,-73.89265974439486
2024-10-10,Dining,-337.32106228553755
2024-10-11,Dining,-157.71030973323485
2024-10-12,Dining,-130.99112408863562
2024-10-13,Utilities,-309.4491650732107
2024-10-14,Deposit / Salary,3002.918621022157
2024-10-15,Deposit / Salary,4581.309397489076
2024-10-16,Rent,-389.29805013810636
2024-10-17,Utilities,-250.64039968484136
2024-10-18,Dining,-198.12772858796458
2024-10-19,Dining,-408.85670719927407
2024-10-20,Rent,-279.70328399805027
2024-10-21,Rent,-419.6664275065623
2024-10-22,Grocery,-365.5417139777191
2024-10-23,Grocery,-233.64570035272027
2024-10-24,Dining,-346.20727969935353
2024-10-25,Rent,-260.71696136023667
2024-10-26,Deposit / Salary,3775.0192954230565
2024-10-27,Subscription,-261.8147477258544
2024-10-28,Dining,-443.4046571971897
2024-10-29,Dining,-77.67781104099522
2024-10-30,Utilities,-209.40266330037664
2024-10-31,Dining,-209.68888976995134
2024-11-01,Subscription,-81.03088837941414
2024-11-02,Rent,-139.7480325815959
2024-11-03,Dining,-259.3327266987783
2024-11-04,Subscription,-249.86439370721686
2024-11-05,Utilities,-74.91918012601198
2024-11-06,Deposit / Salary,2592.3500042637615
2024-11-07,Grocery,-305.37569044543125
2024-11-08,Grocery,-338.6673157515248
2024-11-09,Grocery,-73.44348338588007
2024-11-10,Deposit / Salary,4945.92458329547
2024-11-11,Deposit / Salary,1744.4631942106676
2024-11-12,Rent,-376.82860509829806
2024-11-13,Dining,-312.1164903752904
2024-11-14,Grocery,-392.62518672959294
2024-11-15,Subscription,-335.5491915722659
2024-11-16,Utilities,-298.80608524590366
2024-11-17,Rent,-81.2260683220448
2024-11-18,Deposit / Salary,2841.3961167277557
2024-11-19,Deposit / Salary,2066.541980268082
2024-11-20,Rent,-368.9034966933685
2024-11-21,Grocery,-52.25363438148821
2024-11-22,Rent,-360.61404928436133
2024-11-23,Deposit / Salary,4740.209181307477
2024-11-24,Rent,-328.1054888491128
2024-11-25,Rent,-220.28838366880566
2024-11-26,Utilities,-379.56247104341907
2024-11-27,Dining,-349.3352137742539
2024-11-28,Grocery,-243.62026923711576
2024-11-29,Utilities,-347.64342277666543
2024-11-30,Utilities,-313.6329735678078
2024-12-01,Deposit / Salary,4087.884783922045
2024-12-02,Grocery,-438.3053555214801
2024-12-03,Utilities,-439.71436287467145
2024-12-04,Subscription,-226.8002848036551
2024-12-05,Dining,-295.0307305339011
2024-12-06,Subscription,-278.40702555262317
2024-12-07,Grocery,-409.6053594396746
2024-12-08,Rent,-477.25530871924036
2024-12-09,Deposit / Salary,4895.739931771186
2024-12-10,Grocery,-211.4413024592674
2024-12-11,Rent,-396.73598687826683
2024-12-12,Subscription,-306.5135209032508
2024-12-13,Grocery,-143.002625199048
2024-12-14,Grocery,-295.52543064224415
2024-12-15,Grocery,-92.43259834874206
2024-12-16,Deposit / Salary,1820.2974575786177
2024-12-17,Subscription,-391.2428038763051
2024-12-18,Subscription,-310.28844491602104
2024-12-19,Utilities,-113.72960733695706
2024-12-20,Subscription,-267.126614310295
2024-12-21,Utilities,-412.52946497551847
2024-12-22,Rent,-192.39645062650936
2024-12-23,Grocery,-313.5502968240314
2024-12-24,Subscription,-421.69103938295615
2024-12-25,Rent,-283.22535476452674
2024-12-26,Rent,-171.0814821817276
2024-12-27,Dining,-368.63398444873536
2024-12-28,Deposit / Salary,3805.2528178001885
2024-12-29,Rent,-439.4507717565474
2024-12-30,Dining,-461.36142489224073
2024-12-31,Rent,-418.54835388043443
2025-01-01,Deposit / Salary,4850.002489445249
