applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,collateral_value,repayment_history,debt_to_income_ratio,default_flag
APP-0001,Services,12,4195466,91655,426673,662,0,457212,Average,0.67,0
APP-0002,Manufacturing,19,1900131,52277,473788,682,1,328391,Poor,0.13,0
APP-0003,Services,15,4738200,105070,770791,824,1,275850,Average,0.6,0
APP-0004,Services,9,2303840,38537,826392,681,1,486830,Good,0.6,0
APP-0005,Manufacturing,7,2643050,82201,97695,483,1,10924,Good,0.25,0
APP-0006,Manufacturing,2,4072529,106764,140066,493,1,15921,Poor,0.18,1
APP-0007,Services,9,3163534,64645,148982,761,2,418648,Good,0.62,0
APP-0008,Trading,10,3650957,88605,274837,355,2,381104,Good,0.27,0
APP-0009,Services,2,2848610,67595,649601,529,0,17813,Good,0.1,1
APP-0010,Services,19,3221856,55693,943362,788,3,104748,Good,0.26,0
APP-0011,Services,11,1130132,21390,563098,327,1,371132,Good,0.12,1
APP-0012,Services,13,1775812,28927,554380,483,2,196322,Poor,0.27,1
APP-0013,Manufacturing,10,3335749,111151,491995,724,1,388222,Good,0.33,0
APP-0014,Services,14,4820554,110077,976204,674,0,462172,Good,0.29,0
APP-0015,Trading,18,1712918,18216,592393,340,0,133140,Average,0.74,1
APP-0016,Manufacturing,19,567200,12087,695865,783,2,39927,Good,0.26,0
APP-0017,Trading,9,4427987,42430,214300,559,1,463558,Average,0.43,0
APP-0018,Trading,7,3889973,60487,300699,740,2,367292,Good,0.77,0
APP-0019,Trading,3,1413864,27545,606222,383,1,30539,Poor,0.72,1
APP-0020,Trading,6,4776429,103601,607076,345,0,273827,Good,0.32,1
APP-0021,Manufacturing,2,1279003,41871,873689,739,0,123031,Average,0.33,0
APP-0022,Manufacturing,6,2010220,66113,814371,818,2,347295,Good,0.52,0
APP-0023,Trading,3,3050264,32897,415041,737,0,166746,Good,0.74,0
APP-0024,Trading,16,822291,17914,494003,435,2,52703,Good,0.11,1
APP-0025,Manufacturing,8,3564674,102523,505707,482,0,320954,Poor,0.38,1
APP-0026,Manufacturing,2,1083879,15473,165223,471,2,348255,Good,0.69,1
APP-0027,Manufacturing,17,2198164,59564,662356,838,0,216415,Average,0.39,0
APP-0028,Services,9,3123961,94652,534324,419,0,348121,Good,0.6,1
APP-0029,Services,12,268168,6676,366092,580,1,218186,Good,0.58,1
APP-0030,Services,3,198178,3275,880139,607,1,142189,Good,0.24,0
APP-0031,Trading,11,108123,3396,573339,576,0,265809,Average,0.41,0
APP-0032,Services,1,2258977,68721,501513,829,3,306534,Average,0.5,0
APP-0033,Trading,13,1267309,33240,90738,594,0,337028,Poor,0.6,1
APP-0034,Trading,15,2917543,50838,345740,352,1,63887,Poor,0.68,1
APP-0035,Services,5,3420698,96226,594359,731,0,179338,Good,0.63,0
APP-0036,Trading,17,2372018,38512,140613,351,0,317685,Average,0.12,0
APP-0037,Services,6,765003,11212,83601,371,1,458018,Good,0.57,1
APP-0038,Services,11,2325598,49322,39873,327,0,356463,Average,0.45,0
APP-0039,Manufacturing,18,4942571,164398,702008,768,2,7882,Good,0.5,0
APP-0040,Services,4,4541260,129159,81468,846,0,70825,Average,0.36,0
APP-0041,Manufacturing,3,886002,23548,822902,700,2,276054,Good,0.6,0
APP-0042,Services,13,1411621,27715,730489,500,0,302710,Good,0.57,1
APP-0043,Services,9,1220642,19691,18328,765,0,194145,Good,0.51,0
APP-0044,Manufacturing,6,440508,13096,147405,678,0,359663,Good,0.7,0
APP-0045,Manufacturing,12,1819107,40978,785807,476,2,167248,Good,0.17,0
APP-0046,Services,2,86160,2469,131173,351,1,83081,Average,0.31,0
APP-0047,Trading,3,69156,1419,56638,378,2,161361,Average,0.45,0
APP-0048,Manufacturing,3,2620348,71227,807700,684,1,443627,Good,0.77,0
APP-0049,Trading,12,2612688,78450,211675,307,2,462842,Good,0.15,0
APP-0050,Trading,15,4704126,85229,123920,513,1,109337,Good,0.34,0
APP-0051,Trading,9,4201674,36439,906811,324,0,15362,Average,0.75,1
APP-0052,Manufacturing,8,1864630,27422,420261,749,0,480826,Good,0.73,0
APP-0053,Trading,11,4964005,154907,706101,756,1,489587,Good,0.71,0
APP-0054,Manufacturing,16,931809,23781,445986,760,1,275927,Good,0.32,0
APP-0055,Trading,4,4549311,121756,17887,497,0,175234,Good,0.69,1
APP-0056,Services,1,787197,12961,763266,393,2,428965,Good,0.45,0
APP-0057,Services,7,3858282,99795,34918,736,1,237441,Good,0.53,0
APP-0058,Manufacturing,2,695649,17036,831929,826,1,396770,Good,0.27,0
APP-0059,Services,5,262986,3364,365706,677,0,451784,Good,0.59,0
APP-0060,Services,7,3393014,110444,726369,403,1,280917,Good,0.33,0
APP-0061,Trading,4,3688236,63378,284073,338,0,466910,Good,0.34,0
APP-0062,Manufacturing,5,79777,1321,516508,757,0,459766,Good,0.55,0
APP-0063,Trading,1,3452155,60628,636489,663,2,177367,Good,0.27,0
APP-0064,Trading,1,3877271,41201,530337,434,0,161403,Good,0.26,0
APP-0065,Trading,15,4664965,111760,989266,673,0,307784,Average,0.36,0
APP-0066,Trading,19,248110,3547,744459,531,0,458093,Good,0.64,1
APP-0067,Trading,10,4129430,117342,388710,338,1,309113,Average,0.26,0
APP-0068,Trading,18,464627,8450,300690,346,0,305130,Good,0.65,1
APP-0069,Trading,3,2853089,56483,219496,335,0,102017,Good,0.59,1
APP-0070,Manufacturing,11,2425163,59401,702698,394,1,378324,Good,0.58,1
APP-0071,Services,15,3782517,103565,437499,660,1,7585,Good,0.43,0
APP-0072,Trading,11,3341066,47146,616782,824,3,4122,Good,0.62,0
APP-0073,Trading,17,4934872,160337,481386,445,0,16838,Average,0.11,1
APP-0074,Trading,17,4803954,114773,750147,667,0,148373,Average,0.31,0
APP-0075,Trading,6,1267933,10744,318710,364,1,285251,Good,0.58,1
APP-0076,Trading,5,1749547,32758,357608,527,0,188429,Good,0.79,1
APP-0077,Trading,8,2927597,56367,768141,819,2,219233,Good,0.1,0
APP-0078,Services,2,4450131,127106,138279,480,1,364822,Good,0.46,0
APP-0079,Services,16,3159823,50436,91991,800,0,186283,Poor,0.75,1
